Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20562717,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""""","=""""",4,4.52,DAW,Kindle Edition,676,2007,2007,2016/07/07,2016/02/26,,,read,,,,1,0
22773229,Between the Dark and the Daylight: Embracing the Contradictions of Life,Joan D. Chittister,"Chittister, Joan D.",,"=""0804140944""","=""9780804140942""",0,4.06,Image,Hardcover,176,2015,2015,,2016/07/06,to-read,to-read (#75),to-read,,,,0,0
19913017,Dark Night of the Soul,John of the Cross,"Cross, John of the",,"=""0486115534""","=""9780486115535""",4,4.17,Dover Publications,Kindle Edition,189,2012,1584,2016/06/22,2016/01/05,,,read,"I fear I've understood only a small bit of this book, but I'm glad I worked my way through it. It's a view into a mind and religious worldview that is completely foreign to me but still worth trying to internalize. ",,,1,0
18668059,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"Holiday, Ryan",,"=""1591846358""","=""9781591846352""",0,4.15,Portfolio,Hardcover,201,2014,2014,,2016/06/22,to-read,to-read (#73),to-read,,,,0,0
3977,"Endymion (Hyperion Cantos, #3)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""0553572946""","=""9780553572940""",0,4.19,Bantam Spectra,Mass Market Paperback,563,1996,1996,,2016/03/14,to-read,to-read (#46),to-read,,,,0,0
361552,Listening for the Heartbeat of God: A Celtic Spirituality,John Philip Newell,"Newell, John Philip",J. Philip Newell,"=""0809137593""","=""9780809137596""",0,4.33,Paulist Press,Paperback,107,1997,1997,,2016/03/08,to-read,to-read (#41),to-read,,,,0,0
6522506,The Naked Now: Learning to See as the Mystics See,Richard Rohr,"Rohr, Richard",,"=""0824525434""","=""9780824525439""",0,4.26,Crossroad,Paperback,187,2009,2009,,2016/03/12,to-read,to-read (#45),to-read,,,,0,0
10115852,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,"Bell, Rob",,"=""006204964X""","=""9780062049643""",0,3.66,HarperOne,Hardcover,202,2011,2011,,2016/01/09,to-read,to-read (#28),to-read,,,,0,0
15769209,What We Talk about When We Talk about God,Rob Bell,"Bell, Rob",,"=""0062049666""","=""9780062049667""",0,3.91,HarperOne ,Paperback,208,2013,2012,,2016/01/01,to-read,to-read (#24),to-read,,,,0,0
27427679,People to Be Loved: Why Homosexuality Is Not Just an Issue,Preston M. Sprinkle,"Sprinkle, Preston M.",Wesley Hill,"=""0310519667""","=""9780310519669""",0,4.33,Zondervan,Kindle Edition,219,2015,2015,,2016/01/01,to-read,to-read (#22),to-read,,,,0,0
348850,Everything Belongs: The Gift of Contemplative Prayer,Richard Rohr,"Rohr, Richard",,"=""0824519957""","=""9780824519957""",0,4.27,PublishDrive,Paperback,192,2003,2003,,2015/11/09,to-read,to-read (#21),to-read,,,,0,0
539810,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0812522397""","=""9780812522396""",0,3.78,Tor Science Fiction,Mass Market Paperback,370,1997,1996,,2014/06/15,to-read,to-read (#4),to-read,,,,0,0
5448281,"The Last Kingdom (The Saxon Stories, #1)",Bernard Cornwell,"Cornwell, Bernard",,"=""""","=""""",4,4.27,HarperCollins e-books,ebook,384,2009,2004,2016/03/31,2016/03/14,2016-favorites,2016-favorites (#3),read,I'm glad I stumbled on this book. It's a thoroughly engaging and surprising accurate piece of historical fiction. It's has the intense battles and interesting dynamics of game of thrones without all the junk. If you enjoyed watching the history channels Vikings you will love this book. ,,,1,0
6220255,"Lords of the North (The Saxon Stories, #3)",Bernard Cornwell,"Cornwell, Bernard",,"=""0061801895""","=""9780061801891""",4,4.36,HarperCollins e-books,Kindle Edition,354,2009,2007,2016/04/14,2016/04/12,,,read,,,,1,0
6220256,"The Pale Horseman (The Saxon Stories, #2)",Bernard Cornwell,"Cornwell, Bernard",,"=""0061801917""","=""9780061801914""",3,4.31,HarperCollins,Kindle Edition,433,2009,2006,2016/04/07,2016/04/02,,,read,,,,1,0
